bar,favorable,mfe,mae,ratio,rolling_favorable_rate,n_trades_in_window
1840,False,0.16116069757524065,-0.19816644660405097,0.8132592592592118,0.0,1
2180,False,0.017905105625948315,-0.18503434572281308,0.09676638980727768,0.0,2
2200,False,0.06753428701014434,-0.18746458245665878,0.3602509131331944,0.0,3
2241,False,0.13587980719785153,-0.15204566803442177,0.8936775967013383,0.0,4
2325,True,0.27092206837388255,-0.050596929143020254,5.35451603412686,0.2,5
2383,True,0.20282312741128025,-0.09170043946750557,2.211801040311824,0.3333333333333333,6
2452,False,0.0,-0.08206353824191644,0.0,0.2857142857142857,7
2472,False,0.042858502972273144,-0.06899609051904773,0.6211729193618761,0.25,8
3600,False,0.0,-0.16986620127981306,0.0,0.2222222222222222,9
4160,False,0.03454080368006917,-0.16976927289809246,0.20345733412431474,0.2,10
4195,False,0.0,-0.13589709915762047,0.0,0.18181818181818182,11
4362,False,0.03170625893356894,-0.1439740613428353,0.22022202220210385,0.16666666666666666,12
5914,False,0.13032615693310856,-0.21729377860403823,0.5997693894890305,0.15384615384615385,13
6181,True,0.2329477045490237,-0.058511752080833375,3.981212256765254,0.21428571428571427,14
6255,False,0.0,-0.1695025111119366,0.0,0.2,15
6277,False,0.046831588810775995,-0.18867600651554667,0.24821168136668786,0.1875,16
6308,True,0.04329122984730925,-0.0012983434580148365,33.34343434325261,0.23529411764705882,17
7896,True,0.8647893592587441,-0.03321564389735814,26.0356042451288,0.2777777777777778,18
7987,True,1.0243784212945481,-0.16681292047970928,6.140881763527131,0.3157894736842105,19
8162,False,0.018590532015613028,-0.3337890178751885,0.05569545736991401,0.3,20
