metric,baseline,v1_sequential,v2_rolling_window,improvement_v1,improvement_v2
Return [%],-95.34833946037861,-18.096880404539036,-2.2453055809390174,77.25145905583958,93.1030338794396
Sharpe Ratio,-26.801780115000643,-2.3041398139855778,-0.05658085175056389,24.497640301015064,26.74519926325008
Max Drawdown [%],-95.756401925826,-20.23543438140747,-28.915362309067703,75.52096754441853,66.8410396167583
# Trades,260.0,11.0,20.0,-249.0,-240.0
Win Rate [%],31.92307692307692,18.181818181818183,30.0,-13.741258741258736,-1.9230769230769198
Avg Trade [%],-0.05766184874763658,-0.09287088711418257,0.0030767142835452788,-0.035209038366545986,0.06073856303118186
