symbol,threshold,horizon,direction,n_events,median_ratio,q25_ratio,q75_ratio,pct_favorable
BTC,0.05,10,bearish,127,0.728081123244919,0.35140257335994285,1.8152358624610714,23.62204724409449
BTC,0.05,10,bullish,127,0.6399688200330315,0.21303116075370881,2.5421162606142085,27.559055118110237
BTC,0.05,20,bearish,127,1.0726675187146162,0.36100293216666135,2.8510472761211227,34.645669291338585
BTC,0.05,20,bullish,127,0.6291381606134722,0.22246761482484917,2.7928127021231557,30.708661417322837
BTC,0.05,30,bearish,127,1.175483126622523,0.299234901450134,3.501531005782752,37.79527559055118
BTC,0.05,30,bullish,127,0.7553134102922969,0.21286549815512457,2.874644859256505,31.496062992125985
BTC,0.05,50,bearish,127,1.1275945199035466,0.34241646187691993,3.89702666217826,37.00787401574803
BTC,0.05,50,bullish,127,0.9422782874617273,0.20181577349747137,3.2922598301250003,35.43307086614173
BTC,0.05,100,bearish,127,1.1496086909909504,0.32652605287080705,3.114734278649247,37.79527559055118
BTC,0.05,100,bullish,127,0.8603939012990418,0.19579183526401195,3.1347910358096063,33.85826771653544
BTC,0.1,10,bearish,275,0.8449388676076937,0.35196986653987494,2.240067236976424,26.90909090909091
BTC,0.1,10,bullish,267,0.7784742598027883,0.25042761368435773,2.4732593841582102,28.83895131086142
BTC,0.1,20,bearish,275,1.0459434255518458,0.3496400672882048,3.109958401809035,33.45454545454545
BTC,0.1,20,bullish,267,0.8536444412337774,0.23924009041943387,2.8134756438444155,33.33333333333333
BTC,0.1,30,bearish,275,1.1366393215964796,0.299234901450134,3.6667849986192143,36.36363636363637
BTC,0.1,30,bullish,267,0.9057685724066392,0.2173409681511833,3.0429875600378673,32.20973782771536
BTC,0.1,50,bearish,275,1.2960148083623877,0.34241646187691993,3.978567148783277,38.54545454545455
BTC,0.1,50,bullish,267,0.983199865598844,0.20324647633145862,3.37728287894637,34.45692883895131
BTC,0.1,100,bearish,275,1.5813997573552052,0.4010624923629167,4.4438328596334635,43.63636363636363
BTC,0.1,100,bullish,267,1.0746509129967443,0.23497465407374973,3.1383506724205303,36.329588014981276
BTC,0.15,10,bearish,455,0.9030943270669721,0.36065913229238533,2.376587070446245,27.692307692307693
BTC,0.15,10,bullish,455,0.8055894786284065,0.27123045842526705,2.783363787769794,31.428571428571427
BTC,0.15,20,bearish,455,0.9312330623305667,0.32290483451771557,2.743777325837355,31.868131868131865
BTC,0.15,20,bullish,455,0.9067352237438626,0.24803746156879425,2.770426545725919,31.648351648351646
BTC,0.15,30,bearish,455,0.957285918659314,0.27741026820592307,3.037017371808281,33.4065934065934
BTC,0.15,30,bullish,455,0.9048437947836355,0.22453671434744998,2.8822109879408,31.428571428571427
BTC,0.15,50,bearish,455,1.1496086909909504,0.28473390498033263,3.545280478237978,36.7032967032967
BTC,0.15,50,bullish,455,0.9372368421052734,0.23812297389677772,3.288334282450358,33.62637362637363
BTC,0.15,100,bearish,455,1.1664219129102444,0.36250572860747243,3.7167004384967512,38.24175824175824
BTC,0.15,100,bullish,455,0.8769822761193722,0.24977534424607184,3.210780691900135,35.38461538461539
BTC,0.2,10,bearish,609,0.8808777429465615,0.34891136011662105,2.484827198650977,28.735632183908045
BTC,0.2,10,bullish,606,0.801118331375157,0.2976496005515885,2.755886196378629,30.693069306930692
BTC,0.2,20,bearish,609,0.9375972265433672,0.3029806389581096,3.097113350752588,33.66174055829228
BTC,0.2,20,bullish,606,0.8531788097641755,0.2670927317120514,2.8448394092359863,31.18811881188119
BTC,0.2,30,bearish,609,0.958898489782353,0.27765891694001665,3.209574383134931,35.139573070607554
BTC,0.2,30,bullish,606,0.9407966305426321,0.2452041205814679,2.9034803827995512,31.353135313531354
BTC,0.2,50,bearish,609,1.1044469920956534,0.29283665032643996,3.0279950130342947,35.467980295566505
BTC,0.2,50,bullish,606,0.9893724668343628,0.23790610846232071,3.4622050550853003,34.81848184818482
BTC,0.2,100,bearish,609,1.0751332298266922,0.34965292013627564,3.1240131578947103,35.960591133004925
BTC,0.2,100,bullish,606,0.9434808356223514,0.2568437102009308,3.5292422555589265,36.7986798679868
ETH,0.05,10,bearish,41,0.9678571428570929,0.41438102297995494,3.1560975609752324,31.70731707317073
ETH,0.05,10,bullish,71,1.1410459587954613,0.3024820262829036,2.8353711790391904,32.3943661971831
ETH,0.05,20,bearish,41,0.7713736791547328,0.46098901098899703,4.146666666666685,36.58536585365854
ETH,0.05,20,bullish,71,1.2111368909512341,0.2757637473773098,4.948994252873791,39.436619718309856
ETH,0.05,30,bearish,41,1.219063545150492,0.46563573883160825,4.628614916286401,36.58536585365854
ETH,0.05,30,bullish,71,1.146884272997017,0.33348868374032153,5.172615236876104,38.028169014084504
ETH,0.05,50,bearish,41,1.7079889807162296,0.3634236041457632,4.157718120805302,46.34146341463415
ETH,0.05,50,bullish,71,1.2787934186471874,0.5103887654712745,5.060696632224634,38.028169014084504
ETH,0.05,100,bearish,41,1.4291725105189197,0.4764397905759304,3.1092198581559587,36.58536585365854
ETH,0.05,100,bullish,71,1.3469967532467624,0.6507910358334076,3.169285851449853,39.436619718309856
ETH,0.1,10,bearish,116,0.6778663552823945,0.25536960998520064,1.9355917366945792,24.137931034482758
ETH,0.1,10,bullish,172,0.9599625743713903,0.32733596109506036,2.621038220070319,31.976744186046513
ETH,0.1,20,bearish,116,0.7002471910112269,0.23675135691772237,2.5561385973680606,30.17241379310345
ETH,0.1,20,bullish,172,1.045206403339091,0.27357589409179073,3.9633929262442127,37.2093023255814
