timestamp,direction,entry_price,horizon,mfe,mae,ratio,favorable,symbol,threshold
2024-10-25 03:05:00,bullish,68095.62,10,0.20371354280936302,-0.12867200562972383,1.583200182606808,False,BTC,0.05
2024-10-25 03:05:00,bullish,68095.62,20,0.20371354280936302,-0.5662919289081961,0.3597323790259915,False,BTC,0.05
2024-10-25 03:05:00,bullish,68095.62,30,0.20371354280936302,-0.7646600471513397,0.26641060111388887,False,BTC,0.05
2024-10-25 03:05:00,bullish,68095.62,50,0.20371354280936302,-0.9795784222244961,0.20796042275692014,False,BTC,0.05
2024-10-25 03:05:00,bullish,68095.62,100,0.20371354280936302,-1.2418126158481197,0.16404531586291943,False,BTC,0.05
2024-10-25 03:20:00,bullish,68234.34,10,0.0,-0.38901233601732255,0.0,False,BTC,0.05
2024-10-25 03:20:00,bullish,68234.34,20,0.0,-0.7956404355929789,0.0,False,BTC,0.05
2024-10-25 03:20:00,bullish,68234.34,30,0.0,-0.9664048923166814,0.0,False,BTC,0.05
2024-10-25 03:20:00,bullish,68234.34,50,0.0,-1.428635493506631,0.0,False,BTC,0.05
2024-10-25 03:20:00,bullish,68234.34,100,0.0,-1.4425874127308869,0.0,False,BTC,0.05
2024-10-25 03:25:00,bullish,68176.02,10,0.08554327460006089,-0.3858541463699372,0.22169847183149455,False,BTC,0.05
2024-10-25 03:25:00,bullish,68176.02,20,0.08554327460006089,-0.7454967303752844,0.1147466797835562,False,BTC,0.05
2024-10-25 03:25:00,bullish,68176.02,30,0.08554327460006089,-0.8816883121074034,0.09702212610213255,False,BTC,0.05
2024-10-25 03:25:00,bullish,68176.02,50,0.08554327460006089,-1.3582781746426442,0.06297920131313814,False,BTC,0.05
2024-10-25 03:25:00,bullish,68176.02,100,0.08554327460006089,-1.3582781746426442,0.06297920131313814,False,BTC,0.05
2024-10-26 09:20:00,bullish,67226.06,10,0.05694220366328004,-0.2548267740218565,0.22345455606794326,False,BTC,0.05
2024-10-26 09:20:00,bullish,67226.06,20,0.05694220366328004,-0.34473238503044806,0.16517799352750304,False,BTC,0.05
2024-10-26 09:20:00,bullish,67226.06,30,0.05694220366328004,-0.4061520190235656,0.14019923820685515,False,BTC,0.05
2024-10-26 09:20:00,bullish,67226.06,50,0.05694220366328004,-0.5326803325971972,0.10689751466070864,False,BTC,0.05
2024-10-26 09:20:00,bullish,67226.06,100,0.05694220366328004,-0.7170731112309686,0.0794092021740012,False,BTC,0.05
2024-10-26 20:00:00,bullish,67174.41,10,0.41703380796347805,-0.045270215250127976,9.212101282471792,True,BTC,0.05
2024-10-26 20:00:00,bullish,67174.41,20,0.41703380796347805,-0.045270215250127976,9.212101282471792,True,BTC,0.05
2024-10-26 20:00:00,bullish,67174.41,30,0.41703380796347805,-0.1056354644573825,3.9478579481394327,True,BTC,0.05
2024-10-26 20:00:00,bullish,67174.41,50,0.41703380796347805,-0.19955515798352813,2.089817232375929,True,BTC,0.05
2024-10-26 20:00:00,bullish,67174.41,100,0.41703380796347805,-0.38806444299251386,1.0746509129967443,False,BTC,0.05
2024-10-26 23:25:00,bearish,67118.76,10,0.04584411273391237,-0.12777351667401898,2.7871303217414174,True,BTC,0.05
2024-10-26 23:25:00,bearish,67118.76,20,0.04584411273391237,-0.21838901672200403,4.763730906726757,True,BTC,0.05
2024-10-26 23:25:00,bearish,67118.76,30,0.04584411273391237,-0.3054734622630079,6.663308417288647,True,BTC,0.05
2024-10-26 23:25:00,bearish,67118.76,50,0.1318111359625851,-0.3054734622630079,2.3175087600316053,True,BTC,0.05
2024-10-26 23:25:00,bearish,67118.76,100,0.3079615892784844,-0.3054734622630079,0.9919206579583323,False,BTC,0.05
2024-10-27 00:05:00,bearish,67045.94,10,0.0806312805816395,-0.10729956206147952,1.330743618202098,False,BTC,0.05
2024-10-27 00:05:00,bearish,67045.94,20,0.0806312805816395,-0.19719314845911087,2.445615982242177,True,BTC,0.05
2024-10-27 00:05:00,bearish,67045.94,30,0.12163301759957859,-0.19719314845911087,1.6212139791539142,False,BTC,0.05
2024-10-27 00:05:00,bearish,67045.94,50,0.41690816774289996,-0.19719314845911087,0.47298941041787523,False,BTC,0.05
2024-10-27 00:05:00,bearish,67045.94,100,0.41690816774289996,-0.19719314845911087,0.47298941041787523,False,BTC,0.05
2024-10-27 00:10:00,bearish,67033.01,10,0.09993583758211848,-0.08803125504881068,0.8808777429465615,False,BTC,0.05
2024-10-27 00:10:00,bearish,67033.01,20,0.09993583758211848,-0.17794218102394455,1.7805642633227277,False,BTC,0.05
2024-10-27 00:10:00,bearish,67033.01,30,0.14094548342676314,-0.17794218102394455,1.2624894157492128,False,BTC,0.05
2024-10-27 00:10:00,bearish,67033.01,50,0.4362775892056938,-0.17794218102394455,0.4078645922379692,False,BTC,0.05
2024-10-27 00:10:00,bearish,67033.01,100,0.4362775892056938,-0.17794218102394455,0.4078645922379692,False,BTC,0.05
2024-10-27 00:15:00,bearish,67015.27,10,0.12643387096701383,-0.06429877847244525,0.5085565915261788,False,BTC,0.05
2024-10-27 00:15:00,bearish,67015.27,20,0.16745437271237013,-0.15151770633768713,0.9048297986099366,False,BTC,0.05
2024-10-27 00:15:00,bearish,67015.27,30,0.16745437271237013,-0.15151770633768713,0.9048297986099366,False,BTC,0.05
2024-10-27 00:15:00,bearish,67015.27,50,0.46286465756237694,-0.15151770633768713,0.3273477546020419,False,BTC,0.05
2024-10-27 00:15:00,bearish,67015.27,100,0.46286465756237694,-0.15151770633768713,0.3273477546020419,False,BTC,0.05
