period,baseline_win_rate,filtered_win_rate,improvement_pct,chi2_p_value,binomial_p_value,chi2_significant,binomial_significant
TRAIN,35.604149144939726,53.99330463892874,18.389155493989016,1.9849033323915708e-41,0.0001406327691611271,True,True
TEST,33.192261185006046,58.46702317290553,25.27476198789948,1.7850784661453066e-65,1.9749258302861494e-12,True,True
