EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Actual%,MFE%,MAE%,Efficiency,ETD%,Bars
2024-01-06 22:50:00,2024-01-06 23:55:00,SHORT,43837.38,43942.82,-0.2986948581324941,0.23924787475893264,-0.3253387862139631,-1.248474446987086,0.5379427328914267,13
2024-01-07 02:10:00,2024-01-07 04:50:00,SHORT,44052.07,44012.0,0.14255856762236807,0.49638984047741286,-0.08405961399770506,0.28719074404355155,0.3538312728550448,32
2024-01-07 06:00:00,2024-01-07 06:55:00,SHORT,43885.48,44006.7,-0.31108238989295955,0.06261752178625642,-0.4614966043438486,-4.967976710334093,0.37369991167921596,11
2024-01-07 09:20:00,2024-01-07 11:25:00,SHORT,44004.0,44019.99,-0.09851377147531712,0.2803154258703721,-0.18027906553950038,-0.35143899473043416,0.3788291973456892,25
2024-01-07 15:35:00,2024-01-07 18:20:00,SHORT,44207.65,44134.48,0.2086969110549917,1.148330662227016,-0.03696192853498548,0.1817393873731937,0.9396337511720243,33
2024-01-07 21:55:00,2024-01-07 22:00:00,SHORT,44181.06,44231.53,0.007175020246228257,0.02073286607427757,-0.11425710474126968,0.3460698689955855,0.013557845828049312,1
2024-01-07 22:10:00,2024-01-08 04:30:00,SHORT,44161.74,43530.34,1.4388925798666337,2.234377540377707,-0.055591106691002014,0.6439791637108017,0.7954849605110732,76
2024-01-08 09:10:00,2024-01-08 10:50:00,SHORT,43859.24,44033.98,-0.4988002528087675,0.49592742601101786,-0.6132117200389345,-1.0057928371109806,0.9947276788197854,20
2024-01-08 14:30:00,2024-01-08 14:40:00,SHORT,44988.31,44993.9,-0.1348794831368422,0.07184088488765128,-0.22603649703667983,-1.8774752475247785,0.20672036802449348,2
2024-01-08 15:05:00,2024-01-08 16:10:00,SHORT,44689.83,45010.54,-0.6895528579992276,2.2376455676911877e-05,-1.4391864994787364,-30815.99999372158,0.6895752344549045,13
2024-01-08 21:10:00,2024-01-08 21:45:00,SHORT,46892.02,47178.97,-0.49409259827152324,0.11016799873410492,-0.6720546481043186,-4.484901277584577,0.6042605970056282,7
2024-01-08 22:45:00,2024-01-08 23:10:00,SHORT,46918.08,47056.0,-0.2704714259407065,0.0876634337978124,-0.38773965175045155,-3.0853391684898384,0.3581348597385189,5
2024-01-08 23:50:00,2024-01-09 00:25:00,SHORT,46944.01,46944.0,0.09374998002940532,0.2002598414579454,-0.4387993271132951,0.4681416870545802,0.10650986142854008,7
