EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Actual%,MFE%,MAE%,Efficiency,ETD%,Bars
2017-10-12 11:00:00,2017-10-12 14:00:00,LONG,1.18539,1.18335,-0.06073950345456381,0.06664473295709163,-0.21005744944700744,-0.9113924050632805,0.12738423641165544,3
2017-10-12 15:00:00,2017-10-13 00:00:00,LONG,1.18465,1.18306,-0.019415017093652343,0.03460937829738923,-0.1781116785548522,-0.5609756097559523,0.05402439539104157,9
2017-10-13 04:00:00,2017-10-13 12:00:00,LONG,1.18485,1.18066,0.07005106131578753,0.21606110478120588,-0.36207114824660547,0.3242187500000275,0.14601004346541835,8
2017-10-16 13:00:00,2017-10-16 16:00:00,LONG,1.18066,1.18094,0.033879355614652475,0.11010790574762054,-0.09655616350178213,0.3076923076923077,0.07622855013296806,3
2017-10-16 20:00:00,2017-10-17 09:00:00,LONG,1.17923,1.17658,-0.2857797037049681,0.06868889020801518,-0.32224417628452684,-4.160493827160727,0.35446859391298324,13
2017-10-17 21:00:00,2017-10-18 01:00:00,LONG,1.17668,1.1773,0.022096066900104447,0.11897882176973076,-0.02294591562701775,0.18571428571438314,0.09688275486962632,4
2017-10-18 04:00:00,2017-10-18 09:00:00,LONG,1.17699,1.17458,-0.23534609469918516,0.007646624015490657,-0.3373010815724882,-30.777777777803273,0.24299271871467581,5
2017-10-22 21:00:00,2017-10-22 22:00:00,LONG,1.17651,1.17726,-0.028049060356473084,0.0824472380175381,-0.03399886103815148,-0.34020618556690174,0.11049629837401119,1
2017-10-23 04:00:00,2017-10-23 07:00:00,LONG,1.177,1.17595,-0.1197960917587199,0.06287170773151766,-0.1597281223449536,-1.9054054054056808,0.18266779949023756,3
2017-10-23 14:00:00,2017-10-23 18:00:00,LONG,1.17484,1.17371,-0.09533213033264187,0.12937931973715278,-0.19577133907597552,-0.736842105263181,0.22471145006979465,4
2017-10-23 21:00:00,2017-10-24 00:00:00,LONG,1.1749,1.17552,0.09362498936078635,0.10043407949612382,-0.030640905608999746,0.9322033898304384,0.006809090135337467,3
2017-10-24 02:00:00,2017-10-24 03:00:00,LONG,1.17612,1.17612,0.04251266877529035,0.07652280379552263,-0.025507601265174214,0.5555555555555555,0.034010135020232285,1
2017-10-24 12:00:00,2017-10-24 19:00:00,LONG,1.17568,1.17854,0.02721829069133403,0.3104586281981433,-0.022114861186730145,0.08767123287668,0.28324033750680927,7
2017-10-25 05:00:00,2017-10-25 06:00:00,LONG,1.17572,1.17658,0.034021705848327484,0.0833531793284099,-0.011907597046918397,0.40816326530608543,0.04933147348008241,1
2017-10-25 17:00:00,2017-10-25 19:00:00,LONG,1.18133,1.18054,-0.0821108411705379,0.03978566530943686,-0.09396189041164994,-2.063829787233992,0.12189650647997476,2
2017-10-25 23:00:00,2017-10-26 07:00:00,LONG,1.1815,1.18218,0.026237833262804273,0.18620397799407362,-0.005924672027085441,0.14090909090910697,0.15996614473126936,8
2017-10-26 11:00:00,2017-10-26 13:00:00,LONG,1.18122,1.177,-0.7873215827703445,0.04402228204738118,-0.8931443761534548,-17.88461538461251,0.8313438648177256,2
2017-10-26 14:00:00,2017-10-27 00:00:00,LONG,1.17198,1.16376,-0.7611051383129438,0.053755183535547396,-0.7781702759432769,-14.15873015873228,0.8148603218484912,10
2017-10-30 05:00:00,2017-10-30 09:00:00,LONG,1.1617,1.16335,0.1945424808470475,0.20659378497029848,-0.13170353791857034,0.9416666666667463,0.012051304123250978,4
2017-10-30 10:00:00,2017-10-30 13:00:00,LONG,1.16396,1.16147,-0.1683906663459383,0.023196673425202964,-0.29897934636930384,-7.259259259260142,0.19158733977114126,3
2017-10-31 16:00:00,2017-11-01 01:00:00,LONG,1.1648,1.16402,-0.09958791208791637,0.09100274725273341,-0.1373626373626413,-1.094339622641723,0.19059065934064978,9
2017-11-01 03:00:00,2017-11-01 11:00:00,LONG,1.16328,1.16412,0.04642046626779321,0.21233065126194656,-0.060174678495301635,0.2186234817813729,0.16591018499415333,8
2017-11-01 12:00:00,2017-11-01 13:00:00,LONG,1.16387,1.16183,-0.2294070643628541,0.03007208708877044,-0.27580399872837474,-7.628571428569705,0.25947915145162453,1
2017-11-02 22:00:00,2017-11-03 15:00:00,LONG,1.16567,1.16096,-0.34829754561753773,0.2976828776583496,-0.46153714172964394,-1.170028818443762,0.6459804232758873,17
2017-11-06 13:00:00,2017-11-07 09:00:00,LONG,1.159,1.15661,-0.196721311475415,0.22605694564280127,-0.20880069025022335,-0.8702290076335885,0.42277825711821626,20
2017-11-07 22:00:00,2017-11-07 23:00:00,LONG,1.15888,1.15932,0.1035482534861323,0.15273367389203796,-0.022435454921987348,0.6779661016949471,0.049185420405905664,1
2017-11-08 03:00:00,2017-11-08 10:00:00,LONG,1.15959,1.15918,0.06640278029304836,0.13366793435612265,-0.09227399339420869,0.4967741935484379,0.06726515406307429,7
2017-11-08 11:00:00,2017-11-09 12:00:00,LONG,1.16032,1.164,0.24648372862659307,0.3559362934362906,-0.20856315499173406,0.692493946731261,0.1094525648096975,25
2017-11-13 09:00:00,2017-11-13 18:00:00,LONG,1.16467,1.16625,0.15712605287334594,0.24642173319480437,-0.07298204641658301,0.6376306620209212,0.08929568032145843,9
2017-11-14 00:00:00,2017-11-14 01:00:00,LONG,1.16644,1.16706,0.050581255786846344,0.10287713041391669,-0.013716950721849214,0.4916666666667053,0.052295874627070346,1
2017-11-14 02:00:00,2017-11-14 08:00:00,LONG,1.16702,1.16898,0.3427533375606248,0.3427533375606248,-0.04798546725847834,1.0,0.0,6
