metric,long_only,short_only
Trades,522.0,361.0
Return [%],-99.02,-99.97
Win Rate [%],38.9,34.1
Total MFE [%],379.28,206.23
Captured [%],33.36,-10.94
Agg Eff [%],8.8,-5.3
Mean Eff,-0.611,-0.694
Median Eff,-0.401,-0.395
