config,timeframe,ma_fast,ma_slow,return_pct,n_trades,win_rate_pct,sharpe,max_dd_pct
MA 100/300,15-minute,100,300,-99.97341307718169,517,38.684719535783366,-0.06731048285978182,-99.99651563361144
MA 50/200,15-minute,50,200,-100.0,79,36.708860759493675,0.0,-100.0
