config,timeframe,ma_fast,ma_slow,return_pct,n_trades,win_rate_pct,sharpe,max_dd_pct
MA 100/300,1-hour,100,300,-100.0,78,37.17948717948718,0.0,-100.0
MA 50/200,1-hour,50,200,-99.99952949512043,55,29.09090909090909,-6.958247195315272,-99.99963665646085
MA 20/50,1-hour,20,50,-100.0,77,32.467532467532465,0.0,-100.0
