Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_y_true,Exit_y_true,Entry_forecast,Exit_forecast
-1,200,200,30839.65,30963.0086,30963.0086,30716.291400000002,-135.71913171999958,12.36053172,-0.004400800000000003,2021-07-20,2021-07-20,0 days,,1.0,1.0,-1.0,-1.0
-1,201,201,29790.34,29909.5114,29909.5114,29671.188599999998,-131.11137027999928,11.93997028,-0.0044011370894053775,2021-07-21,2021-07-21,0 days,,1.0,1.0,-1.0,-1.0
-1,202,202,32144.51,32273.08804,32273.08804,32015.931959999998,-141.46155960800033,12.883519608,-0.004400800000000003,2021-07-22,2021-07-22,0 days,,1.0,1.0,-1.0,-1.0
-1,203,203,32287.58,32416.981320000003,32416.981320000003,32158.67868,-142.34223226400084,12.940912264000001,-0.00440857544182617,2021-07-23,2021-07-23,0 days,,1.0,1.0,-1.0,-1.0
-1,204,204,33634.1,33768.626359999995,33768.626359999995,33499.55364,-148.0069052719962,13.480545272,-0.004400501433723452,2021-07-24,2021-07-24,0 days,,1.0,1.0,1.0,1.0
1,205,205,34261.51,34121.10744,34121.10744,34395.17256,-154.07908348800225,13.676523488,-0.004497148067554615,2021-07-25,2021-07-25,0 days,,1.0,1.0,-1.0,-1.0
-1,206,206,35381.02,35522.54408,35522.54408,35239.495919999994,-155.70479281600288,14.180712816,-0.004400800000000003,2021-07-26,2021-07-26,0 days,,1.0,1.0,-1.0,-1.0
