,0
Start,2021-01-01 00:00:00
End,2025-08-31 00:00:00
Duration,1703 days 00:00:00
Exposure Time [%],3.755868544600939
Equity Final [$],4025.5187600479962
Equity Peak [$],10000.0
Commissions [$],605.1785999519999
Return [%],-59.74481239952003
Buy & Hold Return [%],250.99733622139033
Return (Ann.) [%],-17.70904560772012
Volatility (Ann.) [%],4.774826154164684
CAGR [%],-17.718463299654207
Sharpe Ratio,-3.708835680284191
Sortino Ratio,-3.0858204516870362
Calmar Ratio,-0.29641143551171967
Alpha [%],-59.363381960830196
Beta,-0.001519659309664537
Max. Drawdown [%],-59.74481239952003
Avg. Drawdown [%],-59.74481239952003
Max. Drawdown Duration,1504 days 00:00:00
Avg. Drawdown Duration,1504 days 00:00:00
# Trades,64
Win Rate [%],6.25
Best Trade [%],0.36008000000000034
Worst Trade [%],-0.4505947360287475
Avg. Trade [%],-0.39046474320862945
Max. Trade Duration,0 days 00:00:00
Avg. Trade Duration,0 days 00:00:00
Profit Factor,0.05428955208877524
Expectancy [%],-0.3902779404193627
SQN,-14.556284802001842
Kelly Criterion,-1.2271482971656065
_strategy,"OptimizedMLStrategy(n_train=200,retrain_frequency=20)"
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
date                                                 
2021-01-01  10000.00000     0.000000              NaT
2021-01-02  10000.00000     0.000000              NaT
2021-01-03  10000.00000     0.000000              NaT
2021-01-04  10000.00000     0.000000              NaT
2021-01-05  10000.00000     0.000000              NaT
...                 ...          ...              ...
2025-08-27   4025.51876     0.597448              NaT
2025-08-28   4025.51876     0.597448              NaT
2025-08-29   4025.51876     0.597448              NaT
2025-08-30   4025.51876     0.597448              NaT
2025-08-31   4025.51876     0.597448        1504 days

[1704 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice    ExitPrice           SL           TP         PnL  Commission  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_y_true  Exit_y_true  Entry_forecast  Exit_forecast
0     -1       200      200    30839.65  30963.00860  30963.00860  30716.29140 -135.719132   12.360532  -0.004401 2021-07-20 2021-07-20   0 days  None           1.0          1.0            -1.0           -1.0
1     -1       201      201    29790.34  29909.51140  29909.51140  29671.18860 -131.111370   11.939970  -0.004401 2021-07-21 2021-07-21   0 days  None           1.0          1.0            -1.0           -1.0
2     -1       202      202    32144.51  32273.08804  32273.08804  32015.93196 -141.461560   12.883520  -0.004401 2021-07-22 2021-07-22   0 days  None           1.0          1.0            -1.0           -1.0
3     -1       203      203    32287.58  32416.98132  32416.98132  32158.67868 -142.342232   12.940912  -0.004409 2021-07-23 2021-07-23   0 days  None           1.0          1.0            -1.0           -1.0
4     -1       204      204    33634.10  33768.62636  33768.62636  33499.55364 -148.006905   13.480545  -0.004401 2021-07-24 2021-07-24   0 days  None           1.0          1.0             1.0            1.0
..   ...       ...      ...         ...          ...          ...          ...         ...         ...        ...        ...        ...      ...   ...           ...          ...             ...            ...
59    -1       684      684    16900.57  16968.17228  16968.17228  16832.96772  -74.376028    6.773748  -0.004401 2022-11-16 2022-11-16   0 days  None          -1.0         -1.0            -1.0           -1.0
60    -1       685      685    16661.61  16729.41104  16729.41104  16596.10896  -74.479244    6.678204  -0.004470 2022-11-17 2022-11-17   0 days  None          -1.0         -1.0            -1.0           -1.0
61    -1       689      689    16279.50  16215.10908  16345.35092  16215.10908   57.891998    6.498922   0.003556 2022-11-21 2022-11-21   0 days  None           1.0          1.0            -1.0           -1.0
62    -1       690      690    15781.29  15844.41516  15844.41516  15718.16484  -69.450301    6.325141  -0.004401 2022-11-22 2022-11-22   0 days  None           1.0          1.0            -1.0           -1.0
63    -1       691      691    16227.96  16291.84776  16291.84776  16162.03224  -70.391722    6.503962  -0.004338 2022-11-23 2022-11-23   0 days  None           1.0          1.0            -1.0           -1.0

[64 rows x 18 columns]"
