Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_y_true,Exit_y_true,Entry_forecast,Exit_forecast
-1,200,200,30839.65,30963.0086,30963.0086,30716.291400000002,-135.71913171999958,12.36053172,-0.004400800000000003,2021-07-20,2021-07-20,0 days,,1.0,1.0,-1.0,-1.0
-1,201,201,29790.34,29909.5114,29909.5114,29671.188599999998,-131.11137027999928,11.93997028,-0.0044011370894053775,2021-07-21,2021-07-21,0 days,,1.0,1.0,-1.0,-1.0
-1,202,202,32144.51,32273.08804,32273.08804,32015.931959999998,-141.46155960800033,12.883519608,-0.004400800000000003,2021-07-22,2021-07-22,0 days,,1.0,1.0,-1.0,-1.0
-1,203,203,32287.58,32416.981320000003,32416.981320000003,32158.67868,-142.34223226400084,12.940912264000001,-0.00440857544182617,2021-07-23,2021-07-23,0 days,,1.0,1.0,-1.0,-1.0
-1,204,204,33634.1,33768.626359999995,33768.626359999995,33499.55364,-148.0069052719962,13.480545272,-0.004400501433723452,2021-07-24,2021-07-24,0 days,,1.0,1.0,1.0,1.0
1,205,205,34261.51,34121.10744,34121.10744,34395.17256,-154.07908348800225,13.676523488,-0.004497148067554615,2021-07-25,2021-07-25,0 days,,1.0,1.0,-1.0,-1.0
-1,206,206,35381.02,35522.54408,35522.54408,35239.495919999994,-155.70479281600288,14.180712816,-0.004400800000000003,2021-07-26,2021-07-26,0 days,,1.0,1.0,-1.0,-1.0
-1,387,387,35071.42,35211.70568,35211.70568,34931.13432,-154.34230513600087,14.056625136000001,-0.004400800000000003,2022-01-23,2022-01-23,0 days,,1.0,1.0,-1.0,-1.0
-1,493,493,34038.39,34174.5536,34174.5536,33902.2464,-149.80618871999985,13.64258872,-0.004401095020064008,2022-05-09,2022-05-09,0 days,,-1.0,-1.0,-1.0,-1.0
-1,494,494,30074.23,30196.615240000003,30196.615240000003,29956.00476,-134.43940904800326,12.054169048000002,-0.004470252739571582,2022-05-10,2022-05-10,0 days,,-1.0,-1.0,-1.0,-1.0
-1,495,495,31017.11,31141.1684,31141.1684,30893.0316,-136.49005567999808,12.43165568,-0.00440047624295103,2022-05-11,2022-05-11,0 days,,0.0,0.0,-1.0,-1.0
-1,496,496,29103.94,29220.35576,29220.35576,28987.52424,-128.08061915199985,11.664859152,-0.004400800000000003,2022-05-12,2022-05-12,0 days,,1.0,1.0,-1.0,-1.0
-1,497,497,29029.74,29145.869,29145.869,28913.631,-127.76412179999718,11.6351218,-0.004401145921389533,2022-05-13,2022-05-13,0 days,,1.0,1.0,-1.0,-1.0
-1,498,498,29287.05,29404.1982,29404.1982,29169.9018,-128.88644963999963,11.73824964,-0.004400800000000003,2022-05-14,2022-05-14,0 days,,-1.0,-1.0,-1.0,-1.0
-1,499,499,30086.74,30207.08696,30207.08696,29966.393040000003,-132.40572539199894,12.058765392000002,-0.004400800000000003,2022-05-15,2022-05-15,0 days,,-1.0,-1.0,-1.0,-1.0
-1,500,500,31328.89,31203.57444,31454.20556,31203.57444,112.8090671119991,12.506492888,0.0036008000000000034,2022-05-16,2022-05-16,0 days,,-1.0,-1.0,-1.0,-1.0
-1,501,501,29874.01,29993.50604,29993.50604,29754.513959999997,-131.46954320800182,11.973503208,-0.004400800000000003,2022-05-17,2022-05-17,0 days,,-1.0,-1.0,-1.0,-1.0
-1,502,502,30444.93,30566.70972,30566.70972,30323.15028,-133.98204794399862,12.202327944,-0.004400800000000003,2022-05-18,2022-05-18,0 days,,1.0,1.0,-1.0,-1.0
-1,503,503,28715.33,28830.18128,28830.18128,28600.45872,-126.36038225599896,11.509102256000002,-0.004400450291046689,2022-05-19,2022-05-19,0 days,,1.0,1.0,-1.0,-1.0
-1,504,504,30319.22,30440.50692,30440.50692,30197.95308,-133.43886538399863,12.151945384000001,-0.004401131209312019,2022-05-20,2022-05-20,0 days,,1.0,1.0,-1.0,-1.0
-1,505,505,29201.01,29317.814039999997,29317.814039999997,29084.20596,-128.50780480799907,11.703764807999999,-0.004400800000000003,2022-05-21,2022-05-21,0 days,,1.0,1.0,-1.0,-1.0
-1,508,508,29109.14,29225.586600000002,29225.586600000002,28992.7134,-128.11354532000294,11.66694532,-0.0044011449778316985,2022-05-24,2022-05-24,0 days,,1.0,1.0,-1.0,-1.0
-1,512,512,28629.81,28744.319199999998,28744.319199999998,28515.2808,-125.98402583999678,11.474825840000001,-0.004400449246432134,2022-05-28,2022-05-28,0 days,,1.0,1.0,-1.0,-1.0
-1,528,528,26574.53,26680.82812,26680.82812,26468.23188,-116.94919162399947,10.651071624,-0.004400800000000003,2022-06-13,2022-06-13,0 days,,-1.0,-1.0,-1.0,-1.0
-1,529,529,22485.27,22577.35964,22577.35964,22397.46036,-101.10216592799833,9.012525928,-0.0044963732224695225,2022-06-14,2022-06-14,0 days,,-1.0,-1.0,-1.0,-1.0
-1,530,530,22136.42,22224.95564,22224.95564,22047.86436,-97.40791512800187,8.872275128,-0.00440034635808317,2022-06-15,2022-06-15,0 days,,-1.0,-1.0,-1.0,-1.0
-1,531,531,22583.72,22674.05488,22674.05488,22493.385120000003,-99.38643497599853,9.051554976,-0.004400800000000003,2022-06-16,2022-06-16,0 days,,-1.0,-1.0,-1.0,-1.0
-1,532,532,20400.6,20482.915240000002,20482.915240000002,20319.70476,-90.49194304800355,8.176703048,-0.004435749097967934,2022-06-17,2022-06-17,0 days,,-1.0,-1.0,-1.0,-1.0
-1,533,533,20468.81,20550.685240000003,20550.685240000003,20386.93476,-90.07913904800121,8.203899048,-0.004400800000000003,2022-06-18,2022-06-18,0 days,,1.0,1.0,-1.0,-1.0
-1,534,534,18970.79,19046.673160000002,19046.673160000002,18894.90684,-83.48665263200122,7.603492632000001,-0.004400800000000003,2022-06-19,2022-06-19,0 days,,-1.0,-1.0,-1.0,-1.0
-1,535,535,20574.0,20656.296,20656.296,20491.704,-90.54205919999846,8.2460592,-0.004400800000000003,2022-06-20,2022-06-20,0 days,,-1.0,-1.0,1.0,1.0
1,536,536,20573.9,20491.59444,20491.59444,20656.185559999998,-90.5186588880007,8.213098888000001,-0.004399684011684696,2022-06-21,2022-06-21,0 days,,-1.0,-1.0,-1.0,-1.0
-1,537,537,20723.51,20806.414080000002,20806.414080000002,20640.62592,-91.2100648160039,8.305984816,-0.004401284570808884,2022-06-22,2022-06-22,0 days,,1.0,1.0,-1.0,-1.0
-1,538,538,19988.0,20067.94196,20067.94196,19908.038040000003,-87.95314839200012,8.011188392000001,-0.004400297598158794,2022-06-23,2022-06-23,0 days,,-1.0,-1.0,-1.0,-1.0
-1,539,539,21110.12,21194.57052,21194.57052,21025.68948,-92.91145810400215,8.460938104,-0.004401275696395954,2022-06-24,2022-06-24,0 days,,-1.0,-1.0,-1.0,-1.0
-1,540,540,21237.68,21322.64076,21322.64076,21152.73924,-93.47282415199811,8.512064152,-0.004401272839217682,2022-06-25,2022-06-25,0 days,,1.0,1.0,-1.0,-1.0
-1,541,541,21491.18,21577.154759999998,21577.154759999998,21405.22524,-94.58842695199733,8.613666951999999,-0.004401267261825431,2022-06-26,2022-06-26,0 days,,1.0,1.0,-1.0,-1.0
-1,542,542,21038.08,21122.222279999998,21122.222279999998,20953.91772,-92.57434045599639,8.432060456,-0.004400322674692625,2022-06-27,2022-06-27,0 days,,1.0,1.0,-1.0,-1.0
-1,543,543,20742.57,20825.53024,20825.53024,20659.589760000003,-91.27386004800034,8.313620048,-0.0044003158744553884,2022-06-28,2022-06-28,0 days,,1.0,1.0,-1.0,-1.0
-1,544,544,20281.28,20362.41516,20362.41516,20200.16484,-89.26389903200163,8.128739032,-0.004401295136796101,2022-06-29,2022-06-29,0 days,,-1.0,-1.0,-1.0,-1.0
-1,545,545,20123.0,20042.517959999997,20203.50204,20042.517959999997,72.4489364080026,8.033103592,0.003600304944988408,2022-06-30,2022-06-30,0 days,,-1.0,-1.0,-1.0,-1.0
-1,546,546,19942.21,20021.97884,20021.97884,19862.44116,-87.76167776800064,7.992837768,-0.004400800000000003,2022-07-01,2022-07-01,0 days,,1.0,1.0,-1.0,-1.0
-1,547,547,19279.8,19356.9192,19356.9192,19202.6808,-84.846543840001,7.72734384,-0.004400800000000003,2022-07-02,2022-07-02,0 days,,1.0,1.0,-1.0,-1.0
-1,548,548,19252.82,19329.82124,19329.82124,19175.79876,-84.71776824800142,7.716528248000001,-0.004400278413655828,2022-07-03,2022-07-03,0 days,,1.0,1.0,1.0,1.0
1,549,549,19315.83,19238.56668,19238.56668,19393.093320000004,-84.97419933600185,7.7108793360000005,-0.004399200000000114,2022-07-04,2022-07-04,0 days,,1.0,1.0,-1.0,-1.0
-1,550,550,20236.71,20317.65684,20317.65684,20155.76316,-89.05771336800052,8.110873368,-0.004400800000000003,2022-07-05,2022-07-05,0 days,,1.0,1.0,-1.0,-1.0
-1,551,551,20175.84,20256.533320000002,20256.533320000002,20095.12668,-88.77979466400214,8.086474664,-0.00440030227559306,2022-07-06,2022-07-06,0 days,,1.0,1.0,-1.0,-1.0
-1,557,557,19963.61,20043.46444,20043.46444,19883.75556,-87.85585488799916,8.001414888000001,-0.004400800000000003,2022-07-12,2022-07-12,0 days,,1.0,1.0,-1.0,-1.0
-1,558,558,19331.28,19406.065,19406.065,19251.435,-82.53246899999985,7.747469,-0.004269374247333818,2022-07-13,2022-07-13,0 days,,1.0,1.0,-1.0,-1.0
-1,605,605,19555.61,19633.832440000002,19633.832440000002,19477.38756,-86.06032848800137,7.837888488000001,-0.004400800000000003,2022-08-29,2022-08-29,0 days,,1.0,1.0,-1.0,-1.0
-1,614,614,18790.61,18865.77244,18865.77244,18715.44756,-82.69371648800006,7.5312764880000005,-0.004400800000000003,2022-09-07,2022-09-07,0 days,,1.0,1.0,-1.0,-1.0
-1,628,628,18874.31,18950.5,18950.5,18799.5,-83.7549619999987,7.564962000000001,-0.004437511199084781,2022-09-21,2022-09-21,0 days,,1.0,1.0,-1.0,-1.0
-1,629,629,18461.36,18535.20544,18535.20544,18387.51456,-81.24475308800096,7.399313088000001,-0.004400800000000003,2022-09-22,2022-09-22,0 days,,1.0,1.0,-1.0,-1.0
-1,678,678,15922.68,15986.50124,15986.50124,15859.11876,-70.2030762479993,6.381836248,-0.004408998751968806,2022-11-10,2022-11-10,0 days,,-1.0,-1.0,-1.0,-1.0
-1,679,679,17602.45,17671.554600000003,17671.554600000003,17530.7454,-76.1594009200024,7.054800920000001,-0.004326636401182993,2022-11-11,2022-11-11,0 days,,-1.0,-1.0,-1.0,-1.0
-1,680,680,17069.98,17002.02876,17138.59124,17002.02876,61.136838247998504,6.814401752,0.0035815412934284913,2022-11-12,2022-11-12,0 days,,-1.0,-1.0,-1.0,-1.0
-1,681,681,16813.16,16879.32832,16879.32832,16744.831680000003,-72.90681766400067,6.7384976640000005,-0.004336294763387835,2022-11-13,2022-11-13,0 days,,1.0,1.0,-1.0,-1.0
-1,682,682,16331.78,16395.1694,16395.1694,16264.5306,-69.9347898799982,6.54538988,-0.004282129068601079,2022-11-14,2022-11-14,0 days,,-1.0,-1.0,-1.0,-1.0
-1,683,683,16617.72,16685.93784,16685.93784,16552.98216,-74.87857156799753,6.660731568000001,-0.004505947360287475,2022-11-15,2022-11-15,0 days,,-1.0,-1.0,-1.0,-1.0
-1,684,684,16900.57,16968.17228,16968.17228,16832.96772,-74.37602845599915,6.773748456,-0.004400800000000003,2022-11-16,2022-11-16,0 days,,-1.0,-1.0,-1.0,-1.0
-1,685,685,16661.61,16729.41104,16729.41104,16596.108959999998,-74.47924420799846,6.678204208,-0.004470110884122088,2022-11-17,2022-11-17,0 days,,-1.0,-1.0,-1.0,-1.0
-1,689,689,16279.5,16215.10908,16345.350919999999,16215.10908,57.891998183999824,6.498921816,0.0035561287621855503,2022-11-21,2022-11-21,0 days,,1.0,1.0,-1.0,-1.0
-1,690,690,15781.29,15844.41516,15844.41516,15718.164840000001,-69.4503010319996,6.325141032,-0.004400800000000003,2022-11-22,2022-11-22,0 days,,1.0,1.0,-1.0,-1.0
-1,691,691,16227.96,16291.84776,16291.84776,16162.03224,-70.39172155200143,6.503961552,-0.004337681480112091,2022-11-23,2022-11-23,0 days,,1.0,1.0,-1.0,-1.0
