,0
Start,2021-01-01 00:00:00
End,2021-06-01 00:00:00
Duration,151 days 00:00:00
Exposure Time [%],27.631578947368425
Equity Final [$],2395965.06693786
Equity Peak [$],11628121.519780125
Commissions [$],505754.38306216005
Return [%],-76.04034933062141
Buy & Hold Return [%],-38.608626225611786
Return (Ann.) [%],-96.76453517103907
Volatility (Ann.) [%],2.9272855359626595
CAGR [%],-96.83722196366969
Sharpe Ratio,-33.056063025712774
Sortino Ratio,-1.4605560415137289
Calmar Ratio,-1.21877242822014
Alpha [%],-70.54795377408774
Beta,0.14225824882860452
Max. Drawdown [%],-79.39508059954325
Avg. Drawdown [%],-79.39508059954325
Max. Drawdown Duration,48 days 00:00:00
Avg. Drawdown Duration,48 days 00:00:00
# Trades,41
Win Rate [%],29.268292682926827
Best Trade [%],1.965729272596839
Worst Trade [%],-2.2343405288354243
Avg. Trade [%],-0.8087494142758
Max. Trade Duration,1 days 00:00:00
Avg. Trade Duration,1 days 00:00:00
Profit Factor,0.41887002333017886
Expectancy [%],-0.7924828347044441
SQN,-1.9421850956573965
Kelly Criterion,-0.2715277208693751
_strategy,"OptimizedMLStrategy(n_train=100,retrain_frequency=50)"
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
date                                                  
2021-01-01  1.000000e+07     0.000000              NaT
2021-01-02  1.000000e+07     0.000000              NaT
2021-01-03  1.000000e+07     0.000000              NaT
2021-01-04  1.000000e+07     0.000000              NaT
2021-01-05  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2021-05-28  3.366832e+06     0.710458              NaT
2021-05-29  3.091856e+06     0.734105              NaT
2021-05-30  2.839883e+06     0.755775              NaT
2021-05-31  2.608720e+06     0.775654              NaT
2021-06-01  2.395965e+06     0.793951          48 days

[152 rows x 3 columns]"
