bar,favorable,mfe,mae,ratio,unfavorable_streak,favorable_streak
1840,False,0.16116069757524065,-0.19816644660405097,0.8132592592592118,1,0
2180,False,0.017905105625948315,-0.18503434572281308,0.09676638980727768,2,0
2200,False,0.06753428701014434,-0.18746458245665878,0.3602509131331944,3,0
2241,False,0.13587980719785153,-0.15204566803442177,0.8936775967013383,4,0
2325,True,0.27092206837388255,-0.050596929143020254,5.35451603412686,0,1
2383,True,0.20282312741128025,-0.09170043946750557,2.211801040311824,0,2
2452,False,0.0,-0.08206353824191644,0.0,1,0
2472,False,0.042858502972273144,-0.06899609051904773,0.6211729193618761,2,0
3600,False,0.0,-0.16986620127981306,0.0,3,0
4160,False,0.03454080368006917,-0.16976927289809246,0.20345733412431474,4,0
4195,False,0.0,-0.13589709915762047,0.0,5,0
